judul,perusahaan,deskripsi,label
kalbe nutritionals pt sanghiang perkasa,people development internship,responsibilities bantu tim people development laksana program cycle pd external assessment functional competency assessment idp icp people review dll requirements mahasiswa s1 aktif jurus psikologi msdm teknik industri sedia magang lama 6 bulan sedia tempat cikampek ,asli
pt bank negara indonesia persero tbk,officer development program - retail banking,bank negara indonesia persero tbk bni is one of the biggest financial institutions in indonesia providing services to customers with a wide array banking investment digital product and other sustainable financial products and solutions for domestic and international area to support our vision bni is committed to attract high-quality talents across the country to ensure our further accomplishments you will be immersed an exceptional and challenging work environment and surrounded by colleagues and leaders who are passionate to help you grow this program prepares you for leadership roles across many functions and levels in bni with one year comprehensive training journey you will get the opportunity for exciting yet challenging exposures in bni general qualifications s1 s2 from reputable universities with relevant field of studies with the minimum gpa of  s1  3 00 or equivalent  s2  3 25 or equivalent proficient in english and submit your score in the application toefl min 450 we only accept score provided by official authorized institution and valid demonstrate strong leadership interpersonal and good communication skills motivated and challenge-oriented individual ready to deployment across indonesia have an interest to expand caree in sales  marketing willing to be placed all over indonesia to support retail segment business in regional required skills proactive and highly initiative strong in persuasion negotiation excellent in interpersonal and communication oriented towards customer satisfaction good in critical analytical thinking agile enjoy learning new things and able to work in dynamic environment,asli
kalbe nutritionals pt sanghiang perkasa,people development internship head office,responsibilities bantu tim people development laksana program cycle pd external assessment functional competency assessment idp icp people review dll requirements mahasiswa s1 aktif jurus psikologi msdm teknik industri sedia magang lama minimal 3 bulan sedia tempat pulogadung jakarta timur paham guna aplikasi administrasi ms excel ms word spreadsheet,asli
kalbe nutritionals pt sanghiang perkasa,general affair internship,responsibilities buat konten kreatif foto video caption familiar platform instagram tiktok guna aplikasi editing canva capcut dll mampu guna ms word excel powerpoint susun ancang event kantor jadi nilai plus mampu buat desain 3d requirements mahasiswa aktif jurus komunikasi manajemen public relations bidang kait mampu rencana event media sosial spesifik instagram tiktok mampu kerja sama tim komunikatif jujur rapi proaktif mampu selesai tugas sesuai waktu beri,asli
kalbe nutritionals pt sanghiang perkasa,web developer internship,responsibilities rancang mendesign buat aplikasi website requirements paham milik alam laravel framework paham konsep cte common table expression sql jadi nilai tambah familiar web programming html css javascript proaktif semangat ajar mampu kerja tim,asli
pt kaldu sari nabati indonesia,nabati young leader program 2025 management trainee,known as the management trainee program its a career acceleration program for high-potential talents that will get the spotlight starting on their very first day in 18 months you will get heavy exposure to end-to-end business processes to be a future business leader in the fmcg industry the nabati young leader program isnt just another leadership initiative its a unique and exhilarating path for fresh graduates to foster growth leadership and endless opportunities imagine yourself navigating through a world of learning and development gaining skills to propel you into a successful career nabati young leader offers an exceptional and exciting path to leadership personal growth and countless opportunities we are currently open for the global commercial rd culinary manufacturing and supply chain stream you can only choose a maximum of two streams to apply dont miss out on this chance take action now embrace the opportunity and unlock your potential requirements bachelors degree masters degree from any major minimum gpa of 3 30 from a reputable university already graduated before july 2025 fresh graduate or maximum 2 years of working experience fluent in english both verbal and written with toefl score min 450 ielts score min 6 toeic score min 750 or equivalent willing to be placed in bandung or majalengka are you someone who checks all the boxes and is ready to explore a world full of possibilities submit your application here or through the link at bit ly nabatinyl lets create amazing success stories together see you on this journey future leaders note that only shortlisted candidates will be contacted,asli
kalbe nutritionals pt sanghiang perkasa,packaging development staff maternity leave,responsibilities laksana jalan pasti jalan proses kembang kemas produk jalan sesuai kriteria regulasi laku requirements milik alam bidang packaging development tahu basic knowledge teknologi proses food beverage proses emas material packaging familiar to operate tools design adobe illustrator corel adobe photoshop penah menghandel project kait packaging development kontrak 4 bulan tempat cakung - jakarta timur,asli
kalbe nutritionals pt sanghiang perkasa,payroll staff,responsibilities laku proses semua transaksi hubung payroll susun anggar personnel expenses total usaha sesuai otorisasi kelola seluruh proses administrasi data karyawan awal masuk terminasi lapor kekaryawanan guna sistem hris jaga pasti confidentiality data karyawan kelola semua proses asuransi sehat absensi cuti dokumentasi requirements s1 akuntansi milik alam kerja bidang sama minimal 1 tahun paham kena pro-int lebih suka tanggung jawab jujur kreatif sedia tempat pt kalbe morinaga indonesia cikampek,asli
pt bank mandiri persero tbk,officer banking management,monitoring and analyzing performance the bank portfolio of subsidiaries conducting market research for banks subsidiaries industries to identify industry trends opportunities threat in those industries performing peers analysis for banks subsidiaries identifying and mitigating potential risks in the portfolio providing regular reports on portfolio performance and individual performance of the subsidiaries and providing follow up recommendation performing financial modelling with data analysis performing analysis for investment strategies and financial industries trends,asli
kalbe nutritionals pt sanghiang perkasa,learning internship,responsibilities kembang silabus latih kembang media interaktif latih articulate storyline rise storyline moodle gnowbe buat video ajar 4 buat naskah video laksana program latih serta evaluasi olah data training mc moderator training content creator requirements mahasiswa aktif s1 jurus teknologi didik sedia magang 6 bulan sedia tempat cikampek - kab karawang,asli
