judul,perusahaan,deskripsi,label
sekretaris direksi,pt sari husada bhakti,kualifikasi usia maksimal 30 tahun didik min d3 sekretariat  administrasi  manajemen tampil rapi profesional milik alam min 2 tahun sekretaris buka fresh graduate milik mampu interpersonal komunikasi presentasi baik integritas mampu kerja tim maupun individu kuasa ms office paham manajemen file dokumen digital kuasa kelola email sistem komunikasi digital zoom google meet dll sehat jasmani rohani tempat kelapa gading jakarta utara deskripsi kerja jadwal temu  rapat baik internal maupun eksternal atur jalan dinas akomodasi hadir rapat buat minutes of meeting  koordinasi departemen lain jawab telepon terima tamu usaha siap susun dokumen penting lapor presentasi bagai laku arsip dokumen baik fisik maupun digital laku administrasi support penting direksi usaha jaga rahasia semua informasi oleh lama kerja,asli
corporate ga security senior supervisor,pt bridgestone tire indonesia,key responsibilities general affair security policy developed implement update and manage all general affair and security policy to ensure both activities in each location are aligned with the procedure general affair contracts manage all ga contracts with third party including the strategy renewal and collaboration with related departments seek possibility to improve services and cost of contract services in ga corporate ga manage and optimize ga budget utilization in all locations through collaboration with hrga managers and implementation of cost efficiency strategy manage kpi achievement in each location and provide necessary support manage all corporate-wide ga activities and collaborate with each location for the implementation e g uniform procurement transportation etc observe ga activity and propose improvement on ga operational to achieve high efficiency process and services excellence organize all corporate-wide event such as sports tournament halal bi halal etc ensure company permitting and licenses is update and recorded corporate security conduct regular security assessment in both plan and surrounding area to identify potential risk and vulnerability develop and maintain relationship with local law enforcement and other related stakeholder such as community and other security professional lead investigation of security incident including work with law enforcement institution when necessary collaborate with other function within bsin to ensure all security measures are integrated into all aspect in operation stay up-to-date with industry trends and best practices in security management ensuring customer and stakeholder satisfaction and engagement providing briefings and reports to security staff and management maintaining operational excellence and service delivery developing strategies to prevent mitigate and respond to threats and risks e g bomb threat demonstrate theft etc managing security risk assessments and supervising incident investigations leading and monitoring the security teams performance coordinating with law enforcement government agencies vendors and other stakeholders participating in special projects related to security business continuity planning assess all ga security related risks and potential threats to the company and create business continuity planning bcp system implement bcp strategy when there are threats to the company such as natural disasters etc develop capability of ga team member to lift up skill and knowledge for sustainability of the operation,asli
staff administrasi data analisis,pt victor indonesia,kualifikasi  usia max 35 tahun didik minimal s1  d3 administrasi accounting bidang kait alam minimal 4 tahun bidang kait bahasa english mandarin lebih utama mahir operasi microsoft office utama excel word dll aplikasi accurate erti mahir guna excel vlookup pivot table pribadi jujur disiplin tanggung jawab motivasi tinggi kerja individu team cepat ajar kerja bawah tekan deadline tempat daerah jakarta utara,asli
purchasing admin,iklan anonim,purchasing admin tanggung jawab utama kelola beli supplier hubung jalin kerja sama supplier pasti sedia bahan baku pantau harga promo diskon supplier informasi tim kait laku negosiasi harga pasti beli sesuai standar kualitas usaha proses purchase order po pasti barang terima sesuai pesan jumlah kualitas harga manajemen stok inventaris pantau baru data stok bahan baku kerja sama tim gudang pasti simpan barang kondisi baik susun lapor ada barang kala perlu internal administrasi dokumentasi kelola transaksi beli cocok faktur pasti akurat invoice supplier koordinasi tim uang pasti bayar supplier tepat waktu simpan kelola database supplier dokumentasi beli organisir kualifikasi didik minimal d3 s1 bidang administrasi manajemen jenis alam minimal 1-2 tahun bidang purchasing mahir guna microsoft excel google sheet sistem inventaris teliti milik terampil negosiasi mampu kerja detail sistematis komunikatif mampu koordinasi bagai pihak supplier tim sales uang,asli
smelter - warehouseman,pt amman mineral nusa tenggara,responsibility receive incoming materials including unpacking sorting checking and locating items into the warehouse for storage picking and issuing materials as requested by users including re-packing items and delivery on site as required locate and store materials in warehouse racking binning and yard locations carries out bin maintenance and stock control checks ensures warehouse security and maintains work area loading and unloading of goods and materials using materials handling equipment the duties and responsibilities listed above are representative of the nature and level of work assigned and are not necessarily all-inclusive other duties as assigned requirement appropriate license for equipment expertise basic computer skills preferably with experience in ms office and ellipse applications good communication skill both indonesia and english,asli
operator produksi mesin extractor,pt bangja investama corporindo,urai kerja mampu paham proses kerja mesin extractor siap jalan ting mesin extractor memastkan prosedur jalan benar kontrol jalan mesin extractor rawat jaga bersih mesin operasi buat lapor giat operasional hari produksi minimal pasti produksi reject kelola  tangan baik kualifikasi didik minimal s1 jurus mesin elektro milik alam minimal 2 tahun operator mesin extractor milik daya tangkap daya analisa yg baik kreatif mampu kerja bawah tekan disiplin jujur tegas bertanggungjawab sedia tempat pasuruan,asli
admin purchasing fb,cv miyou yogurt indonesia,deskripsi kerja tanggung jawab atas sedia stok barang kelola dokumen administratif kelola mesan kirim barang awal hingga akhir buat rekap stok jalan pasti barang terima kirim kendala kualifikasi mampu kelola sedia efisien masuk rencana ada pantau stok pasti sedia barang sesuai minta milik mampu administratif kuat masuk kelola dokumen pantau pesan komunikasi pasok efektif mampu komunikasi bagai pihak masuk pasok anggota tim internal departemen kait lain pasti lancar proses beli milik paham baik anggar biaya operasional mampu kelola beli sesuai batas anggar tetap milik terampil guna perangkat lunak platform teknologi guna manajemen beli ada perangkat lunak erp enterprise resource planning sistem manajemen sedia mampu kerja teliti milik teliti tinggi laku tugas administratif kerja mandiri maupun tim utama alam belum posisi administratif beli ada industri fb wfo kalideres jakarta barat,asli
corporate ga security senior supervisor,pt bridgestone tire indonesia,key responsibilities general affair security policy developed implement update and manage all general affair and security policy to ensure both activities in each location are aligned with the procedure general affair contracts manage all ga contracts with third party including the strategy renewal and collaboration with related departments seek possibility to improve services and cost of contract services in ga corporate ga manage and optimize ga budget utilization in all locations through collaboration with hrga managers and implementation of cost efficiency strategy manage kpi achievement in each location and provide necessary support manage all corporate-wide ga activities and collaborate with each location for the implementation e g uniform procurement transportation etc observe ga activity and propose improvement on ga operational to achieve high efficiency process and services excellence organize all corporate-wide event such as sports tournament halal bi halal etc ensure company permitting and licenses is update and recorded corporate security conduct regular security assessment in both plan and surrounding area to identify potential risk and vulnerability develop and maintain relationship with local law enforcement and other related stakeholder such as community and other security professional lead investigation of security incident including work with law enforcement institution when necessary collaborate with other function within bsin to ensure all security measures are integrated into all aspect in operation stay up-to-date with industry trends and best practices in security management ensuring customer and stakeholder satisfaction and engagement providing briefings and reports to security staff and management maintaining operational excellence and service delivery developing strategies to prevent mitigate and respond to threats and risks e g bomb threat demonstrate theft etc managing security risk assessments and supervising incident investigations leading and monitoring the security teams performance coordinating with law enforcement government agencies vendors and other stakeholders participating in special projects related to security business continuity planning assess all ga security related risks and potential threats to the company and create business continuity planning bcp system implement bcp strategy when there are threats to the company such as natural disasters etc develop capability of ga team member to lift up skill and knowledge for sustainability of the operation,asli
it sistem administrator,pt prawathiya karsa pradipta,pt prawathiya karsa pradipta usaha teknologi muka indonesia cari it sistem administrator alam gabung tim jakarta it sistem administrator main peran kunci pasti infrastruktur teknologi jalan lancar efisien dukung tumbuh inovasi bisnis kami tanggung jawab pantau kelola pelihara sistem jaring server usaha identifikasi selesai masalah teknis tepat waktu rancang implementasi pelihara solusi aman ti kuat optimal kerja sedia sistem laku pelihara tingkat kala analis kelola data log ambil tindak cegah pulih perlu siap terap prosedur bijak ti pasti patuh praktis operasional latih beri dukung teknis guna akhir syarat gelar sarjana bidang teknologi informasi komputer disiplin ilmu kait alam minimal 2-3 tahun it sistem administrator it infrastruktur laman guna linux alam guna mikrotik alam bangun server installasi server alam guna docker docker swarm kerja belum punya alam tangan troubleshot  atas error server linux nilai plus alam guna kubernetes nilai plus alam laku improvement kantor belum jalan punya mampu analisa baik sedia tempat wilayah bagus pasar minggu jakarta selatan manfaat paket kompensasi kompetitif sempat kembang karier luas program latih sambung lingkung kerja kolaboratif inovatif dukung bijak kerja fleksibel dukung imbang hidup kerja pt prawathiya karsa pradipta usaha teknologi depan indonesia fokus kembang solusi inovatif bantu bisnis capai unggul komitmen inovasi kolaborasi unggul operasional beri nilai baik langgan kami gabung beri sempat kembang karier lingkung dinamis dukung tim antusias dedikasi tarik gabung it sistem administrator lamar sekarang jadi bagi jalan tuju sukses lanjut,asli
purchasing officer,pt ancara logistics indonesia tbk,responsibilities  send price request for goods services to vendors and compare prices in accordance to company standard create purchase orders based on the approved bid tabulation results and ensure the selected vendors receive and process the purchase order documents ensure the goods services purchased in accordance with the purchase order documents make request for funds to the finance department for vendors who use cash payment schemes responsible for administrative activities and document storage in the purchasing section requirements  min bachelors degree in any major fresh graduate or have min 1-3 years experience in the same field excellent in ms office understand statistics have strong negotiation skills with supplier location based in samarinda,asli
